Time,Amount,Class
0,321.52,0
4,126.22,0
17,339.97,0
0,213.85,0
4,1795.35,1
18,114.12,0
5,435.3,0
4,173.42,0
3,382.93,0
11,52.87,0
23,404.53,0
12,66.79,0
20,150.12,0
18,431.54,0
21,39.43,0
2,148.25,0
12,433.91,0
11,319.66,0
21,180.86,0
20,468.64,0
17,319.31,0
12,85.88,0
22,463.07,0
1,343.88,0
10,20.89,0
18,37.76,0
20,160.77,0
20,442.92,0
7,136.12,0
23,271.79,0
12,449.42,0
4,498.68,0
1,50.0,0
5,80.66,0
2,213.97,0
14,299.96,0
0,485.68,0
17,61.7,0
10,385.46,0
3,3888.37,1
5,486.08,0
20,57.67,0
19,321.28,0
5,190.09,0
16,390.42,0
3,4716.39,1
7,123.53,0
2,473.74,0
17,408.93,0
15,68.55,0
16,86.74,0
6,214.45,0
22,378.86,0
21,159.3,0
16,221.86,0
2,127.71,0
7,296.21,0
22,8.56,0
1,118.33,0
7,40.07,0
17,245.28,0
18,468.08,0
15,125.28,0
3,99.25,0
13,180.38,0
21,365.89,0
1,324.86,0
3,172.95,0
14,99.15,0
14,95.83,0
14,462.02,0
3,428.7,0
0,499.64,0
7,463.55,0
6,245.39,0
5,451.71,0
8,492.73,0
9,393.64,0
17,478.87,0
6,245.9,0
18,484.51,0
10,35.17,0
16,294.17,0
1,267.91,0
5,44.66,0
7,38.64,0
18,471.09,0
19,299.29,0
18,330.4,0
6,467.68,0
8,160.52,0
9,337.49,0
1,3484.64,1
6,41.26,0
11,70.57,0
11,440.24,0
17,221.9,0
20,307.78,0
17,335.59,0
4,333.38,0
23,445.41,0
19,139.81,0
21,174.73,0
15,135.67,0
1,454.54,0
2,2334.23,1
8,320.37,0
22,223.71,0
2,9.79,0
4,347.05,0
18,418.12,0
1,217.74,0
1,450.0,0
7,108.99,0
17,180.07,0
19,206.16,0
7,463.25,0
5,488.22,0
23,17.27,0
13,392.28,0
7,432.71,0
3,394.75,0
15,24.17,0
14,409.21,0
7,411.17,0
12,331.72,0
8,432.85,0
21,257.16,0
0,270.43,0
5,485.35,0
1,491.86,0
23,220.11,0
16,221.01,0
6,450.25,0
0,355.85,0
21,404.22,0
21,372.27,0
21,218.49,0
21,313.46,0
9,361.28,0
10,335.11,0
4,151.35,0
12,334.14,0
19,451.89,0
0,206.01,0
18,109.04,0
14,164.51,0
15,110.78,0
23,480.12,0
16,46.97,0
2,311.53,0
21,376.81,0
4,1979.37,1
2,307.58,0
18,443.64,0
15,349.7,0
1,4003.86,1
7,390.32,0
16,479.19,0
3,280.92,0
21,401.7,0
10,281.67,0
19,446.26,0
13,446.55,0
5,276.2,0
8,239.96,0
8,420.73,0
20,263.04,0
22,222.74,0
10,139.5,0
4,44.89,0
22,348.51,0
10,210.36,0
6,210.81,0
18,197.79,0
18,14.67,0
11,7.92,0
13,198.04,0
19,368.64,0
8,246.67,0
10,19.37,0
23,400.08,0
4,236.36,0
12,269.39,0
2,333.18,0
14,72.17,0
10,133.78,0
12,166.79,0
13,475.85,0
0,45.54,0
11,30.78,0
2,1124.12,1
0,103.68,0
15,123.08,0
6,284.16,0
11,131.84,0
23,305.59,0
5,390.01,0
0,58.51,0
12,290.02,0
2,358.93,0
7,416.13,0
21,387.38,0
18,64.92,0
13,176.87,0
20,39.13,0
15,425.54,0
20,480.59,0
4,232.57,0
20,368.23,0
17,405.06,0
23,235.11,0
7,164.54,0
14,47.9,0
19,235.03,0
15,171.52,0
6,95.01,0
8,132.88,0
8,352.09,0
6,260.73,0
15,361.44,0
15,123.96,0
0,247.96,0
22,114.69,0
11,333.66,0
13,267.81,0
11,277.44,0
8,139.1,0
10,362.04,0
22,270.25,0
15,112.11,0
16,296.85,0
6,490.35,0
3,3136.54,1
1,27.53,0
4,350.22,0
3,377.63,0
15,289.16,0
1,173.65,0
3,431.55,0
2,203.35,0
4,344.79,0
9,283.61,0
17,127.85,0
19,305.13,0
14,263.67,0
18,152.19,0
19,156.16,0
3,480.25,0
6,107.86,0
7,45.19,0
0,42.16,0
15,346.24,0
22,119.58,0
2,430.51,0
20,462.34,0
6,402.93,0
20,274.56,0
4,136.49,0
9,87.13,0
9,413.0,0
9,237.01,0
16,471.62,0
3,2728.11,1
0,303.84,0
18,481.15,0
21,15.27,0
5,290.24,0
8,327.5,0
20,294.74,0
15,484.68,0
21,169.99,0
13,84.61,0
12,147.67,0
14,277.3,0
3,129.94,0
16,205.07,0
17,5.57,0
16,31.83,0
20,379.44,0
8,30.55,0
14,464.2,0
0,244.93,0
7,306.39,0
0,158.82,0
3,51.14,0
4,63.15,0
16,359.72,0
15,210.67,0
17,125.65,0
19,99.35,0
2,440.27,0
13,396.05,0
8,394.92,0
9,145.01,0
21,292.06,0
17,78.55,0
17,169.56,0
6,466.76,0
12,123.21,0
1,388.89,0
12,239.12,0
20,333.53,0
1,250.19,0
10,482.85,0
14,437.72,0
0,455.67,0
20,207.94,0
8,42.04,0
20,347.89,0
21,167.64,0
10,193.1,0
15,444.28,0
2,22.77,0
9,343.78,0
13,374.65,0
22,381.38,0
22,224.62,0
10,19.33,0
11,150.22,0
13,125.88,0
5,397.3,0
12,306.7,0
18,124.21,0
8,233.27,0
14,335.09,0
5,340.42,0
18,472.89,0
22,481.2,0
6,423.43,0
3,427.4,0
18,288.1,0
0,351.14,0
1,4460.27,1
23,455.76,0
9,452.56,0
11,118.91,0
8,99.12,0
21,361.86,0
3,72.71,0
9,324.94,0
11,21.52,0
9,49.62,0
6,210.67,0
11,272.01,0
5,457.18,0
15,413.22,0
10,151.1,0
2,236.82,0
21,483.42,0
17,490.07,0
0,396.39,0
11,66.18,0
18,337.81,0
11,321.08,0
0,120.74,0
10,471.87,0
2,114.58,0
22,234.81,0
4,1148.85,1
7,62.48,0
14,72.15,0
22,474.94,0
23,212.47,0
20,443.28,0
13,247.23,0
22,143.47,0
7,224.47,0
21,54.18,0
20,451.34,0
6,202.08,0
14,474.76,0
20,109.99,0
